2025-05-17 07:14:22,495 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:29:22 UTC)" executed successfully
2025-05-17 07:29:22,486 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:44:22 UTC)" (scheduled at 2025-05-17 05:29:22.476883+00:00)
2025-05-17 07:29:22,489 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:44:22 UTC)" executed successfully
2025-05-17 07:44:22,486 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:59:22 UTC)" (scheduled at 2025-05-17 05:44:22.476883+00:00)
2025-05-17 07:44:22,489 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:59:22 UTC)" executed successfully
2025-05-17 07:59:22,485 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:14:22 UTC)" (scheduled at 2025-05-17 05:59:22.476883+00:00)
2025-05-17 07:59:22,489 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:14:22 UTC)" executed successfully
2025-05-17 08:14:22,482 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:29:22 UTC)" (scheduled at 2025-05-17 06:14:22.476883+00:00)
2025-05-17 08:14:22,485 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:29:22 UTC)" executed successfully
2025-05-17 08:29:22,481 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:44:22 UTC)" (scheduled at 2025-05-17 06:29:22.476883+00:00)
2025-05-17 08:29:22,485 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:44:22 UTC)" executed successfully
2025-05-17 08:44:22,533 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:59:22 UTC)" (scheduled at 2025-05-17 06:44:22.476883+00:00)
2025-05-17 08:44:22,536 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 06:59:22 UTC)" executed successfully
2025-05-17 08:59:22,492 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:14:22 UTC)" (scheduled at 2025-05-17 06:59:22.476883+00:00)
2025-05-17 08:59:22,494 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:14:22 UTC)" executed successfully
2025-05-17 09:14:22,525 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:29:22 UTC)" (scheduled at 2025-05-17 07:14:22.476883+00:00)
2025-05-17 09:14:22,528 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:29:22 UTC)" executed successfully
2025-05-17 09:29:22,484 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:44:22 UTC)" (scheduled at 2025-05-17 07:29:22.476883+00:00)
2025-05-17 09:29:22,488 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:44:22 UTC)" executed successfully
2025-05-17 09:44:22,483 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:59:22 UTC)" (scheduled at 2025-05-17 07:44:22.476883+00:00)
2025-05-17 09:44:22,487 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 07:59:22 UTC)" executed successfully
2025-05-17 09:59:22,537 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:14:22 UTC)" (scheduled at 2025-05-17 07:59:22.476883+00:00)
2025-05-17 09:59:22,540 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:14:22 UTC)" executed successfully
2025-05-17 10:14:22,484 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:29:22 UTC)" (scheduled at 2025-05-17 08:14:22.476883+00:00)
2025-05-17 10:14:22,487 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:29:22 UTC)" executed successfully
2025-05-17 10:29:22,502 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:44:22 UTC)" (scheduled at 2025-05-17 08:29:22.476883+00:00)
2025-05-17 10:29:22,504 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:44:22 UTC)" executed successfully
2025-05-17 10:44:22,505 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:59:22 UTC)" (scheduled at 2025-05-17 08:44:22.476883+00:00)
2025-05-17 10:44:22,511 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 08:59:22 UTC)" executed successfully
2025-05-17 10:59:22,501 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:14:22 UTC)" (scheduled at 2025-05-17 08:59:22.476883+00:00)
2025-05-17 10:59:22,504 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:14:22 UTC)" executed successfully
2025-05-17 11:14:22,496 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:29:22 UTC)" (scheduled at 2025-05-17 09:14:22.476883+00:00)
2025-05-17 11:14:22,500 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:29:22 UTC)" executed successfully
2025-05-17 11:29:22,524 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:44:22 UTC)" (scheduled at 2025-05-17 09:29:22.476883+00:00)
2025-05-17 11:29:22,526 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:44:22 UTC)" executed successfully
2025-05-17 11:44:22,486 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:59:22 UTC)" (scheduled at 2025-05-17 09:44:22.476883+00:00)
2025-05-17 11:44:22,489 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 09:59:22 UTC)" executed successfully
2025-05-17 11:59:22,495 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:14:22 UTC)" (scheduled at 2025-05-17 09:59:22.476883+00:00)
2025-05-17 11:59:22,497 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:14:22 UTC)" executed successfully
2025-05-17 12:14:22,488 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:29:22 UTC)" (scheduled at 2025-05-17 10:14:22.476883+00:00)
2025-05-17 12:14:22,495 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:29:22 UTC)" executed successfully
2025-05-17 12:29:22,511 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:44:22 UTC)" (scheduled at 2025-05-17 10:29:22.476883+00:00)
2025-05-17 12:29:22,514 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:44:22 UTC)" executed successfully
2025-05-17 12:44:22,511 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:59:22 UTC)" (scheduled at 2025-05-17 10:44:22.476883+00:00)
2025-05-17 12:44:22,513 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 10:59:22 UTC)" executed successfully
2025-05-17 12:59:22,497 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:14:22 UTC)" (scheduled at 2025-05-17 10:59:22.476883+00:00)
2025-05-17 12:59:22,500 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:14:22 UTC)" executed successfully
2025-05-17 13:14:22,502 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:29:22 UTC)" (scheduled at 2025-05-17 11:14:22.476883+00:00)
2025-05-17 13:14:22,511 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:29:22 UTC)" executed successfully
2025-05-17 13:29:22,494 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:44:22 UTC)" (scheduled at 2025-05-17 11:29:22.476883+00:00)
2025-05-17 13:29:22,496 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:44:22 UTC)" executed successfully
2025-05-17 13:44:22,505 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:59:22 UTC)" (scheduled at 2025-05-17 11:44:22.476883+00:00)
2025-05-17 13:44:22,507 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 11:59:22 UTC)" executed successfully
2025-05-17 13:59:22,490 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 12:14:22 UTC)" (scheduled at 2025-05-17 11:59:22.476883+00:00)
2025-05-17 13:59:22,494 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 12:14:22 UTC)" executed successfully
2025-05-17 14:14:22,492 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 12:29:22 UTC)" (scheduled at 2025-05-17 12:14:22.476883+00:00)
2025-05-17 14:14:22,495 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 12:29:22 UTC)" executed successfully
2025-05-17 14:29:22,492 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 12:44:22 UTC)" (scheduled at 2025-05-17 12:29:22.476883+00:00)
2025-05-17 14:29:22,494 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 12:44:22 UTC)" executed successfully
